Player_ID,Name,Team_code,Point_per_game,ICT_index,Inv_FDR,Price,Pos_code,Score_index
1,Cédric,1,0.0,0.0,3.3333333333333335,4.2,2,22.222222222222225
3,Xhaka,1,4.8,29.9,3.3333333333333335,5.0,3,48.18888888888889
4,Elneny,1,2.0,0.8,3.3333333333333335,4.3,3,29.155555555555555
5,Holding,1,1.0,0.2,3.3333333333333335,4.3,2,25.622222222222224
6,Partey,1,2.7,11.2,3.3333333333333335,4.9,3,34.955555555555556
7,Ødegaard,1,6.4,42.6,3.3333333333333335,6.6,3,57.75555555555555
8,Tierney,1,1.4,7.8,3.3333333333333335,4.9,2,29.48888888888889
9,Pépé,1,0.0,0.0,3.3333333333333335,5.3,3,22.222222222222225
10,White,1,4.4,11.4,3.3333333333333335,4.5,2,40.68888888888889
11,Nketiah,1,1.0,13.8,3.3333333333333335,6.6,4,30.155555555555555
12,Smith Rowe,1,1.0,6.8,3.3333333333333335,5.7,3,27.822222222222223
13,Saka,1,4.2,39.0,3.3333333333333335,7.8,3,49.22222222222223
14,Tomiyasu,1,0.8,2.7,3.3333333333333335,4.2,2,25.78888888888889
15,Ramsdale,1,3.4,7.5,3.3333333333333335,5.0,1,36.05555555555556
16,Gabriel,1,5.2,25.5,3.3333333333333335,5.1,2,48.055555555555564
17,Tavares,1,0.0,0.0,3.3333333333333335,4.5,2,22.222222222222225
18,Sambi,1,1.3,1.7,3.3333333333333335,4.4,3,27.122222222222224
19,Martinelli,1,6.8,56.9,3.3333333333333335,6.5,3,63.855555555555554
20,Pablo Marí,1,0.0,0.0,3.3333333333333335,4.5,2,22.222222222222225
22,Torreira,1,0.0,0.0,3.3333333333333335,4.5,3,22.222222222222225
23,Nelson,1,0.0,0.0,3.3333333333333335,4.9,3,22.222222222222225
24,Turner,1,0.0,0.0,3.3333333333333335,3.9,1,22.222222222222225
25,Fábio Vieira,1,0.0,0.0,3.3333333333333335,5.7,3,22.222222222222225
26,Saliba,1,5.8,16.5,3.3333333333333335,4.8,2,47.055555555555564
27,Marquinhos,1,0.0,0.0,3.3333333333333335,4.8,3,22.222222222222225
28,Jesus,1,6.4,64.6,3.3333333333333335,8.2,4,65.08888888888889
313,Zinchenko,1,6.3,13.7,3.3333333333333335,5.1,2,47.78888888888889
607,Smith,1,0.0,0.0,3.3333333333333335,4.5,3,22.222222222222225
29,Coutinho,2,1.3,15.2,3.3333333333333335,6.7,3,31.622222222222224
30,Ings,2,2.2,16.2,3.3333333333333335,6.8,4,34.955555555555556
31,Martínez,2,3.7,18.6,3.3333333333333335,4.9,1,40.75555555555556
32,Chambers,2,1.5,3.1,3.3333333333333335,4.4,2,28.25555555555556
33,Digne,2,0.8,24.7,3.3333333333333335,4.7,2,33.12222222222223
34,Traoré,2,0.0,0.0,3.3333333333333335,4.9,3,22.222222222222225
35,Olsen,2,0.0,0.0,3.3333333333333335,4.0,1,22.222222222222225
36,Sanson,2,0.0,0.0,3.3333333333333335,4.4,3,22.222222222222225
37,McGinn,2,1.7,14.1,3.3333333333333335,5.3,3,32.588888888888896
38,Hause,2,0.0,0.0,3.3333333333333335,4.4,2,22.222222222222225
39,Mings,2,1.5,8.2,3.3333333333333335,4.3,2,29.95555555555556
40,Watkins,2,4.0,26.4,3.3333333333333335,7.3,4,44.355555555555554
41,Nakamba,2,0.0,0.0,3.3333333333333335,4.4,3,22.222222222222225
42,Buendía,2,2.5,23.9,3.3333333333333335,5.9,3,38.52222222222222
43,Cash,2,1.0,15.8,3.3333333333333335,4.7,2,30.822222222222223
44,Konsa,2,1.2,8.2,3.3333333333333335,4.4,2,28.95555555555556
45,Bailey,2,3.2,22.3,3.3333333333333335,4.7,3,40.32222222222222
46,Douglas Luiz,2,2.6,11.2,3.3333333333333335,4.8,3,34.62222222222223
47,Ramsey,2,1.8,21.7,3.3333333333333335,5.2,3,35.455555555555556
49,Iroegbunam,2,0.0,0.0,3.3333333333333335,4.5,3,22.222222222222225
50,Diego Carlos,2,1.5,5.8,3.3333333333333335,4.8,2,29.155555555555555
51,El Ghazi,2,0.0,0.0,3.3333333333333335,4.8,3,22.222222222222225
52,Davis,2,0.0,0.0,3.3333333333333335,5.4,4,22.222222222222225
53,Kamara,2,1.8,12.5,3.3333333333333335,4.9,3,32.38888888888889
54,Archer,2,1.0,0.3,3.3333333333333335,4.4,4,25.655555555555555
55,Philogene-Bidace,2,0.0,0.0,3.3333333333333335,4.5,3,22.222222222222225
56,Guilbert,2,0.0,0.0,3.3333333333333335,4.0,2,22.222222222222225
410,Bednarek,2,0.5,6.8,3.3333333333333335,4.3,2,26.155555555555555
479,Dendoncker,2,1.8,10.9,3.3333333333333335,4.9,3,31.855555555555554
525,Augustinsson,2,0.0,0.0,3.3333333333333335,4.4,2,22.222222222222225
537,Kesler Hayden,2,0.0,0.0,3.3333333333333335,4.0,2,22.222222222222225
538,Young,2,1.0,1.6,3.3333333333333335,4.4,2,26.08888888888889
57,Smith,3,1.5,13.8,3.6666666666666665,4.4,2,34.044444444444444
58,Stanislas,3,1.0,0.0,3.6666666666666665,4.8,3,27.777777777777775
59,Fredericks,3,1.0,1.1,3.6666666666666665,4.4,2,28.144444444444442
60,Brooks,3,0.0,0.0,3.6666666666666665,5.3,3,24.444444444444443
61,Lowe,3,1.0,0.0,3.6666666666666665,5.3,3,27.777777777777775
62,Moore,3,2.3,14.5,3.6666666666666665,5.5,4,36.94444444444444
63,Marcondes,3,1.0,0.1,3.6666666666666665,4.8,3,27.811111111111106
